experiment,train_time,eval_time
result/UKDALE_Dishwasher_10s/256/TCN_KL_1,0,16.0
result/UKDALE_Dishwasher_10s/256/TCN_KL_2,0,16.103
result/UKDALE_Dishwasher_10s/512/TCN_KL_0,0,8.6
result/UKDALE_Dishwasher_10s/512/TCN_KL_1,0,8.351
result/UKDALE_Dishwasher_10s/512/TCN_KL_2,0,8.325
result/UKDALE_Kettle_10s/128/TCN_KL_0,0,59.625
result/UKDALE_Kettle_10s/128/TCN_KL_1,0,58.97
result/UKDALE_Kettle_10s/128/TCN_KL_2,0,59.27
result/UKDALE_Kettle_10s/256/TCN_KL_0,0,29.96
result/UKDALE_Kettle_10s/256/TCN_KL_1,0,29.892
result/UKDALE_Kettle_10s/256/TCN_KL_2,0,29.688
result/UKDALE_Kettle_10s/512/TCN_KL_0,0,15.023
result/UKDALE_Kettle_10s/512/TCN_KL_1,0,15.112
result/UKDALE_Kettle_10s/512/TCN_KL_2,0,15.07
result/UKDALE_Microwave_10s/128/TCN_KL_0,0,31.911
result/UKDALE_Microwave_10s/128/TCN_KL_1,0,31.393
result/UKDALE_Microwave_10s/128/TCN_KL_2,0,31.879
result/UKDALE_Microwave_10s/256/TCN_KL_0,0,16.687
result/UKDALE_Microwave_10s/256/TCN_KL_1,0,16.355
result/UKDALE_Microwave_10s/256/TCN_KL_2,0,16.662
result/UKDALE_Microwave_10s/512/TCN_KL_0,0,8.598
result/UKDALE_Microwave_10s/512/TCN_KL_1,0,8.42
result/UKDALE_Microwave_10s/512/TCN_KL_2,0,9.034
result/UKDALE_Fridge_10s/128/TCN_KL_0,0,32.718
result/UKDALE_Fridge_10s/128/TCN_KL_1,0,31.704
result/UKDALE_Fridge_10s/128/TCN_KL_2,0,33.748
result/UKDALE_Fridge_10s/256/TCN_KL_0,0,16.525
result/UKDALE_Fridge_10s/256/TCN_KL_1,0,16.677
result/UKDALE_Fridge_10s/256/TCN_KL_2,0,16.445
result/UKDALE_Fridge_10s/512/TCN_KL_0,0,8.46
result/UKDALE_Fridge_10s/512/TCN_KL_1,0,8.539
result/UKDALE_Fridge_10s/512/TCN_KL_2,0,8.45
result/REDD_WashingMachine_1min/128/NILMFormer_0,31.646,2.159
result/REDD_WashingMachine_1min/128/NILMFormer_1,10.684,2.088
result/REDD_WashingMachine_1min/128/NILMFormer_2,10.436,1.934
result/REDD_WashingMachine_1min/128/NILMFormer_0,18.253,0.311
result/REDD_WashingMachine_1min/128/NILMFormer_1,2.586,0.314
result/REDD_WashingMachine_1min/128/NILMFormer_2,2.183,0.313
result/REDD_WashingMachine_1min/256/NILMFormer_0,2.373,0.184
result/REDD_WashingMachine_1min/256/NILMFormer_1,2.371,0.158
result/REDD_WashingMachine_1min/256/NILMFormer_2,1.522,0.156
